Family,Common Name,Scientific Names,Spawning Season,Reference,Reproductive Guild,Temperature Preference Class,Reference
Acipenseridae,Atlantic Sturgeon,Acipenser oxyrinchus oxyrinchus,Spring,SC(1973),A.1.5,cold/cool,C(2001)
,Green Sturgeon,Acipenser medirostris,Spring,SC(1973),A.1.2,cold,C(2001)
,Lake Sturgeon,Acipenser fulvescens,Spring,SC(1973),A.1.2,cold/cool,C(2001)
,Shortnose Sturgeon,Acipenser brevistronum,Spring,SC(1973),A.1.2,cold/cool,C(2001)
,White Sturgeon,Acipenser transmontanus,Spring,SC(1973),-,-,-
Amiidae,Bowfin,Amia calva,Spring,SC(1973),B.2.5,warm,C(2001)
Anguillidae,American Eel,Anguilla rostrata,N/A*,SC(1973),A.1.1,cool,C(2001)
Catostomidae,Bigmouth Buffalo,Ictiobus cyprinellus,Spring,SC(1973),A.1.5,warm,C(2001)
,Longnose Sucker,Catostomus catostomus,Spring,SC(1973),A.1.3,cold,C(2001)
,Northern Hog Sucker,Hypentelium nigricans,Spring,SC(1973),A.1.3,warm,C(2001)
,Quillback,Carpoides cyprinus,Spring,SC(1973),A.1.6,cool,C(2001)
,Spotted Sucker,Minytrema melanops,Spring,SC(1973),A.1.3,warm,C(2001)
,White Sucker,Catostomus commersoni,Spring,SC(1973),A.1.3,cool,C(2001)
Centrarchidae,Black Crappie,Pomoxis nigromaculatus,Spring,SC(1973),B.2.5,cool,C(2001)
,Bluegill,Lepomis macrochirus,Spring,SC(1973),B.2.3,warm,C(2001)
,Green Sunfish,Lepomis cyanellus,Spring,SC(1973),B.2.3,warm,C(2001)
,Largemouth Bass,Micropterus salmoides,Spring,SC(1973),B.2.5,warm,C(2001)
,Pumpkinseed,Lepomis gibbosus,Spring,SC(1973),B.2.2,warm,C(2001)
,Rock Bass,Ambloplites rupestris,Spring,SC(1973),B.2.3,cool,C(2001)
,Smallmouth Bass,Micropterus dolomieui,Spring,SC(1973),B.2.3,warm,C(2001)
,White Crappie,Pomoxis annularis,Spring,SC(1973),B.1.4,cool,C(2001)
Clupeidae,Alewife,Alosa pseudoharengus,Spring,SC(1973),A.1.4,cold,C(2001)
,Gizzard Shad,Dorosoma Cependianum,Spring,SC(1973),A.1.2,cool,C(2001)
Cottidae,Deepwater Sculpin,Myoxocephalus quadricornis,Fall,SC(1973),B.2.3,cold,C(2001)
,Fourhorn Sculpin,Myoxocephalus quadricornis,Fall,SC(1973),B.2.3,cold,C(2001)
,Mottled Sculpin,Cottus biardii,Spring,SC(1973),B.2.7,cold,C(2001)
,Slimy Sculpin,Cottus cognatus,Spring,SC(1973),B.2.7,cold,C(2001)
,Spoonhead Sculpin,Cottus ricei,Fall,SC(1973),B.2.7,cold,C(2001)
