Appendix 1: Summary of findings from catch-and-release studies.

Species                 N       Days      % Mortality         Reference

Blue catfish            52         3          5.1        Muoneke, 1993

Channel catfish        214         3           19        Ott and Storey, 1993
Channel catfish        704         6           33        Rutledge, 1975
Channel catfish        14         <1           0         Tilyou and Hoenke, 1992

Flathead catfish        52         3          11.5       Muoneke, 1993

Yellow bullhead         20        <1           0         Tilyou and Hoenke, 1992

Muskellunge             NA        3.5          30        Beggs et al., 1980

Northern pike          242        5-16       0-4.8       Burkholder, 1992
Northern pike           94        4-10        6.4        Falk and Gilman, 1975
Northern pike          185         2         1-33        Dubois et al., 1994

Tiger muskellunge      217         1          9.7        Newman and Storck, 1986

Artic grayling         180         2          0.6        Clark, 1991
Artic grayling         158        4-10        5.1        Falk and Gilman, 1975

Atlantic salmon         300     10-14        0.3-5.7     Warner, 1976
Atlantic salmon        149         5           13        Warner, 1978
Atlantic salmon         177       2-5         4-35       Warner and Johnson, 1978
Atlantic salmon        1221      3-14          5.1       Warner, 1979
Atlantic salmon          20        NA            0        Booth et al., 1994

Brook trout            550        7-10        1-57       Shetter and Allison, 1955
Brook trout            806         1           2.6       Shetter and Allison, 1958
Brook trout            630         2           4.3       Nuhfer and Alexander, 1992

Brown trout            490        14          13.5       Hulbert and Engstrom-Heg, 1980

Brown trout            107         1           0.9       Shetter and Allison, 1958
Brown trout            197        NA          0-28       Shetter and Allison, 1955
Brown trout            215        10          3-7        Barwick, 1985

Chinook salmon         888        4-6         22.1       Wertheimer et al., 1989
Chinook salmon         506         5         21-25       Wertheimer, 1988
Chinook salmon         100        1-5          10        Bendock and Alexandersdotitir, 1991

Chinook salmon     245      5        6-11       Bendock and Alexandersdotitir, 1991
Chinook salmon    3618      NA       11.8       Butler and Loeffel, 1972
Chinook salmon     66       2        9.1        Natural Research Consultants, 1989

Coho salmon        85      35        42-55      Milne and Ball, 1956
Coho salmon       147       2         6.8       Natural Research Consultants, 1989
Coho salmon       4861     NA        18.4       Butler and Loeffel, 1972
Coho salmon       384      NA        69.3       Vincent-Lang et al., 1993

Cutthroat trout    652     30      5.11-5.5     Marnell and Hunsaker, 1970
Cutthroat trout    690     30         3.8       Dotson, 1982
Cutthroat trout    509     10        5-73       Hunsaker et al., 1970
Cutthroat trout   72698    NA         0.3       Schill et al., 1986
Cutthroat trout    578      4      1.37-48.5    Titus and Vanicek, 1988

Lake trout        129      4-10      6.98       Falk et al., 1974
Lake trout         67       2        14.9       Loftus et al., 1988
Lake trout        50        2         10        Dextrase and Ball, 1991

Rainbow trout     100     120          95       Mason and Hunt, 1967
Rainbow trout     1000      3         1-10      Klein, 1965
Rainbow trout     159       NA       11-35      Shetter and Allison, 1955
Rainbow trout     300      120      34.5-82     Mason and Hunt, 1967
Rainbow trout      38       10        5-39      Barwick, 1985
Rainbow trout     574        2      5.7-36      Stringer, 1967
Rainbow trout      65       1-2        20       Faccin, 1983
Rainbow trout     346        1         5.2      Shetter and Allison, 1958
Rainbow trout     900       28         2.1      Jenkins, 2003
Rainbow trout     281     29-34        16       Schill, 1996

Striped bass       576       3     1.87-70.39   May, 1990
Striped bass       307       3        38.1      Hysmith et al., 1992
Striped bass       113       3        0-69      Childress, 1989a
Striped bass       464     14        16-17      Harrel, 1988
Striped bass       215    30-40      15-29      Diodati, 1991
Striped bass        89     >3        14-67      Bettoli and Osborne, 1998
Striped bass       153      3          6.4      Nelson, 1998

